2|a piece of cake|Something very easy to do|بہت آسان کام|The test was a piece of cake for her.
2|break the ice|To start a conversation in an awkward situation|بات چیت کا آغاز کرنا|He told a joke to break the ice.
2|hit the books|To study hard|خوب پڑھائی کرنا|Exams start Monday, so I must hit the books.
2|under the weather|Feeling slightly ill|طبیعت ناساز ہونا|I am a bit under the weather today.
2|once in a blue moon|Very rarely|کبھی کبھار|We meet once in a blue moon.
2|cost an arm and a leg|To be very expensive|بہت مہنگا ہونا|That phone cost an arm and a leg.
2|call it a day|To stop working for the day|کام ختم کرنا|Let us call it a day and go home.
2|on the same page|In agreement about something|ہم خیال ہونا|Make sure we are all on the same page.
2|out of the blue|Completely unexpectedly|اچانک|He called me out of the blue.
2|piece of mind|Freedom from worry|ذہنی سکون|A steady job gives peace of mind.
2|keep an eye on|To watch carefully|نظر رکھنا|Keep an eye on the children.
2|make up your mind|To decide|فیصلہ کرنا|Make up your mind before Friday.
2|in the long run|Over a long period of time|طویل عرصے میں|Honesty pays in the long run.
2|better late than never|Late is better than not at all|دیر آید درست آید|He apologised at last, better late than never.
2|so far so good|Fine up to this point|اب تک سب ٹھیک|So far so good with the new plan.
2|the last straw|The final problem that ends patience|صبر کا آخری امتحان|His rudeness was the last straw.
2|a blessing in disguise|Something bad that turns out good|بظاہر نقصان مگر فائدہ|Losing that job was a blessing in disguise.
2|get the hang of|To learn how to do something|طریقہ سیکھ لینا|You will get the hang of it soon.
2|pull yourself together|To calm down and regain control|خود کو سنبھالنا|Pull yourself together before the interview.
2|face the music|To accept the consequences|نتائج بھگتنا|He had to face the music after the error.
2|bite off more than you can chew|To take on too much|طاقت سے زیادہ کام لینا|She bit off more than she could chew.
2|cut corners|To do something cheaply or carelessly|کام میں کوتاہی کرنا|Never cut corners on safety.
2|hit the nail on the head|To describe something exactly right|بالکل درست بات کہنا|You hit the nail on the head.
2|in hot water|In trouble|مصیبت میں|He is in hot water with his boss.
2|let the cat out of the bag|To reveal a secret accidentally|راز فاش کر دینا|She let the cat out of the bag.
2|miss the boat|To lose an opportunity|موقع گنوا دینا|Apply now or you will miss the boat.
2|on cloud nine|Extremely happy|بہت خوش|He was on cloud nine after the result.
2|play it by ear|To decide as things happen|حالات کے مطابق فیصلہ کرنا|We will play it by ear tomorrow.
2|see eye to eye|To agree completely|مکمل اتفاق کرنا|They rarely see eye to eye.
2|the ball is in your court|It is your turn to act|اب فیصلہ تمہارا ہے|I have replied, the ball is in your court.
2|time flies|Time passes very quickly|وقت تیزی سے گزرتا ہے|Time flies when you are busy.
2|two heads are better than one|Two people solve problems better|دو ذہن ایک سے بہتر|Let us work together, two heads are better than one.
2|beat around the bush|To avoid the main point|بات گھمانا|Stop beating around the bush.
2|get out of hand|To become uncontrolled|قابو سے باہر ہونا|The argument got out of hand.
2|give someone a hand|To help someone|مدد کرنا|Can you give me a hand with this?
2|keep your chin up|To stay cheerful in difficulty|حوصلہ رکھنا|Keep your chin up, results are not everything.
2|learn the ropes|To learn how a job works|کام کا طریقہ سیکھنا|It takes a month to learn the ropes.
2|no pain no gain|Success needs effort|محنت کے بغیر کامیابی نہیں|No pain no gain, so keep practising.
2|on the ball|Alert and quick to understand|چوکس اور تیز|The new assistant is really on the ball.
2|pull someone's leg|To joke with someone|مذاق کرنا|Relax, I am only pulling your leg.
2|speak your mind|To say what you really think|صاف بات کہنا|Feel free to speak your mind.
