1|get up|To rise from bed|بستر سے اٹھنا|I get up at six every morning.
1|sit down|To take a seat|بیٹھ جانا|Please sit down and relax.
1|stand up|To rise to your feet|کھڑا ہونا|Everyone stood up when she entered.
1|come in|To enter|اندر آنا|Come in and close the door.
1|go out|To leave the house|باہر جانا|We go out every Friday evening.
1|turn on|To start a machine or light|چالو کرنا|Turn on the fan, please.
1|turn off|To stop a machine or light|بند کرنا|Turn off the tap while brushing.
1|put on|To dress yourself in something|پہننا|Put on your jacket, it is cold.
1|take off|To remove clothing or to leave the ground|اتارنا یا اڑان بھرنا|Take off your shoes at the door.
1|wake up|To stop sleeping|جاگنا|I woke up before the alarm.
1|sit up|To rise to a sitting position|سیدھا بیٹھنا|He sat up in bed and yawned.
1|look at|To direct your eyes towards|دیکھنا|Look at this picture carefully.
1|listen to|To pay attention to a sound|سننا|Listen to the instructions first.
1|wait for|To stay until someone comes|انتظار کرنا|Wait for me at the gate.
1|ask for|To request something|مانگنا|Ask for help when you need it.
1|pick up|To lift something from a surface|اٹھانا|Pick up your bag from the floor.
1|put down|To place something on a surface|رکھ دینا|Put down the phone and study.
1|come back|To return|واپس آنا|Come back before dark.
1|go back|To return to a place|واپس جانا|I want to go back home.
1|write down|To record something on paper|لکھ لینا|Write down every new word.
1|clean up|To make a place tidy|صفائی کرنا|Clean up after the meal.
1|grow up|To become an adult|بڑا ہونا|She grew up in this village.
1|find out|To discover information|معلوم کرنا|Find out the exam date.
1|look for|To search for something|تلاش کرنا|I am looking for my keys.
1|get on|To board a vehicle|سوار ہونا|Get on the bus quickly.
1|get off|To leave a vehicle|اترنا|Get off at the next stop.
1|run out|To have no more of something|ختم ہو جانا|We have run out of sugar.
1|fill in|To complete a form|فارم بھرنا|Fill in your name here.
1|hand in|To submit work|جمع کرانا|Hand in your homework tomorrow.
1|switch on|To start a device|چالو کرنا|Switch on the light, please.
2|give up|To stop trying|ہار مان لینا|Never give up on your goals.
2|carry on|To continue|جاری رکھنا|Carry on with the exercise.
2|figure out|To understand after thinking|سمجھ لینا|I figured out the rule myself.
2|point out|To draw attention to something|نشاندہی کرنا|She pointed out my mistake.
2|bring up|To mention a topic or raise a child|ذکر کرنا یا پرورش کرنا|Do not bring up that subject.
2|call off|To cancel|منسوخ کرنا|They called off the match.
2|put off|To postpone|ملتوی کرنا|Do not put off your revision.
2|work out|To exercise or to solve|ورزش کرنا یا حل نکالنا|It all worked out in the end.
2|turn up|To arrive, often unexpectedly|پہنچ جانا|He turned up an hour late.
2|turn down|To refuse or reduce volume|انکار کرنا|She turned down the offer.
2|look after|To take care of someone|خیال رکھنا|He looks after his grandmother.
2|look up|To search for information|تلاش کرنا|Look up the word in a dictionary.
2|come across|To find by chance|اتفاقاً ملنا|I came across an old photograph.
2|get along|To have a good relationship|نبھانا|The two of them get along well.
2|set up|To establish or arrange|قائم کرنا|They set up a small library.
2|take over|To gain control of something|قبضہ کرنا|A new manager took over.
2|break down|To stop working or to lose control|خراب ہونا|The car broke down on the way.
2|check out|To examine or to leave a hotel|جانچنا|Check out these new features.
2|cut down|To reduce|کم کرنا|Cut down on sugary drinks.
2|deal with|To handle a problem|نمٹنا|How will you deal with this?
2|end up|To reach a final state|آخرکار ہونا|We ended up walking home.
2|get over|To recover from something|صحت یاب ہونا|It took a week to get over the flu.
2|hold on|To wait|رکنا|Hold on, I am nearly ready.
2|keep up|To maintain the same pace|برقرار رکھنا|Keep up the good work.
2|leave out|To omit|چھوڑ دینا|You left out the last question.
2|make up|To invent or to reconcile|گھڑنا یا صلح کرنا|He made up the whole story.
2|pass away|To die|انتقال کر جانا|Their uncle passed away last year.
2|put up with|To tolerate|برداشت کرنا|I cannot put up with the noise.
2|run into|To meet by chance|اتفاقاً ملنا|I ran into an old classmate.
2|show up|To appear|آ جانا|Only half the class showed up.
2|sort out|To organise or resolve|حل کرنا|Let us sort out this confusion.
2|take up|To start a new activity|شروع کرنا|He took up cycling last month.
2|think over|To consider carefully|غور کرنا|Think it over for a day.
2|try on|To wear something to test the fit|پہن کر دیکھنا|Try on this shirt.
2|watch out|To be careful|خبردار رہنا|Watch out for the step.
2|come up with|To produce an idea|سوچ نکالنا|She came up with a clever solution.
2|go through|To experience or examine|گزرنا یا جانچنا|We went through every answer.
2|look forward to|To feel happy about a future event|بے تابی سے انتظار کرنا|I look forward to your reply.
2|get rid of|To remove something unwanted|چھٹکارا پانا|Get rid of these old papers.
2|stand for|To represent|نمائندگی کرنا|What does this letter stand for?
3|account for|To explain or form a part of|وضاحت کرنا|How do you account for the delay?
3|back down|To withdraw from a position|پیچھے ہٹنا|Neither side would back down.
3|bank on|To rely on something|بھروسہ کرنا|Do not bank on a last minute change.
3|bear out|To confirm or support|تصدیق کرنا|The figures bear out his claim.
3|bring about|To cause something to happen|سبب بننا|These reforms brought about real change.
3|call for|To require or demand|تقاضا کرنا|The situation calls for patience.
3|carry out|To perform a task|انجام دینا|They carried out a detailed survey.
3|come down to|To be essentially a matter of|منحصر ہونا|It comes down to daily practice.
